,University,Approved Amount,Coordinates,Canton
54,Schweiz. Hochschule für Logopädie Rorschach - SHLR,429600.0,"{'lng': 9.4948635, 'lat': 47.4726127}",SG
55,Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,4649550.0,"{'lng': 8.555274899999997, 'lat': 47.362492}",ZH
56,Schweizer Kompetenzzentrum Sozialwissensch. - FORS,34735816.0,"{'lng': 6.5801606, 'lat': 46.5210895}",VD
57,Schweizer Paraplegiker Forschung - SPF,1944211.0,"{'lng': 8.1310359, 'lat': 47.13998429999999}",LU
58,Staatsunabh. Theologische Hochschule Basel - STHB,17300.0,"{'lng': 7.5885761, 'lat': 47.5595986}",BS
59,Swiss Center for Electronics and Microtech. - CSEM,18068246.0,"{'lng': 6.947501, 'lat': 46.997902}",NE
60,Swiss Institute of Bioinformatics - SIB,11583219.0,"{'lng': 6.151104, 'lat': 46.193478}",GE
61,Università della Svizzera italiana - USI,84970554.75,"{'lng': 8.958257200000002, 'lat': 46.0109603}",TI
62,Universität Basel - BS,1352251464.37,"{'lng': 7.5826, 'lat': 47.56025349999999}",BS
63,Universität Bern - BE,1519373034.69,"{'lng': 7.438119000000002, 'lat': 46.9504896}",BE
64,Universität Luzern - LU,39981678.31,"{'lng': 8.312521499999999, 'lat': 47.0494042}",LU
65,Universität St. Gallen - SG,69194954.44999999,"{'lng': 9.3755673, 'lat': 47.43215749999999}",SG
66,Universität Zürich - ZH,1826842675.0000005,"{'lng': 8.550981199999999, 'lat': 47.3743221}",ZH
67,Université de Fribourg - FR,457526170.2500001,"{'lng': 7.152006, 'lat': 46.806357}",FR
68,Université de Genève - GE,1838237308.5,"{'lng': 6.1451157, 'lat': 46.199444}",GE
69,Université de Lausanne - LA,1183290756.68,"{'lng': 6.5801606, 'lat': 46.5210895}",VD
70,Université de Neuchâtel - NE,383204582.3,"{'lng': 6.938703099999999, 'lat': 46.9938549}",NE
73,Zürcher Fachhochschule (ohne PH) - ZFH,44843453.12,"{'lng': 8.534657200000002, 'lat': 47.3776241}",ZH
